Objeto	Coluna	PK	FK	FKReferenceSource	FKReferenceFake
[dbo].[AGENDAMENTO_MENSAGEM]	CD_ATIVO	False	False	NULL	000000
[dbo].[AGENDAMENTO_MENSAGEM]	CD_MENSAGEM	False	False	NULL	000000
[dbo].[AGENDAMENTO_MENSAGEM]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[AGRUPAMENTO_RELATORIO]	CD_AGRUPAMENTO	True	False	NULL	000000
[dbo].[AGRUPAMENTO_SUBAGRUPAMENTO_RELATORIO]	CD_AGRUPAMENTO_SUBAGRUPAMENTO_RELATORIO	True	False	NULL	000000
[dbo].[AGRUPAMENTO_SUBAGRUPAMENTO_RELATORIO]	CD_AGRUPAMENTO_RELATORIO	False	False	NULL	000000
[dbo].[AGRUPAMENTO_SUBAGRUPAMENTO_RELATORIO]	CD_SUBAGRUPAMENTO_RELATORIO	False	False	NULL	000000
[dbo].[AIR_BAG]	CD_AIR_BAG	True	False	NULL	000000
[dbo].[AIR_BAG]	CD_AGENCIA	False	False	NULL	[dbo].[AGENCIA].[CD_AGENCIA]
[dbo].[ALINHAMENTO_RODOVIA]	CD_ALINHAMENTO_RODOVIA	True	False	NULL	000000
[dbo].[ALINHAMENTO_RODOVIA]	CD_PISTA_ALINHAMENTO	False	False	NULL	000000
[dbo].[ALINHAMENTO_RODOVIA]	CD_RODOVIA	False	False	NULL	000000
[dbo].[ALINHAMENTO_RODOVIA]	CD_SENTIDO	False	False	NULL	000000
[dbo].[ALMOXARIFADO]	CD_ALMOXARIFADO	True	False	NULL	000000
[dbo].[ALTA_HOSPITAL]	CD_ALTA_HOSPITAL	True	False	NULL	000000
[dbo].[ALTA_HOSPITAL]	CD_AGENCIA	False	False	NULL	[dbo].[AGENCIA].[CD_AGENCIA]
[dbo].[ALTERACAO_STATUS]	CD_ALTERACAO_STATUS	True	False	NULL	000000
[dbo].[ALTERACAO_STATUS]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
